元シート,列車番号,駅順,駅名,発車,到着,方向,区間,発車_判定用,到着_判定用,発着チェック
〇【上】ST　ｷｾ～ﾂｶ,A2040S,7,五反野,55.20,55.50,上り,〇【上】ST　ｷｾ～ﾂｶ,55.20,55.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A2040S,8,梅島,53.30,54   ,上り,〇【上】ST　ｷｾ～ﾂｶ,53.30,54,途中
〇【上】ST　ｷｾ～ﾂｶ,A2040S,9,西新井,50.30,52   ,上り,〇【上】ST　ｷｾ～ﾂｶ,50.30,52,途中
〇【上】ST　ｷｾ～ﾂｶ,A2040S,10,竹ノ塚,,20.48.20,上り,〇【上】ST　ｷｾ～ﾂｶ,,20.48.20,終着
〇【上】ST　ｷｾ～ﾂｶ,A2062S,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A2062S,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
〇【上】ST　ｷｾ～ﾂｶ,A2062S,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A2062S,5,北千住,20.52.20,48.50,上り,〇【上】ST　ｷｾ～ﾂｶ,20.52.20,48.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A2062S,6,小菅,46.50,46.20,上り,〇【上】ST　ｷｾ～ﾂｶ,46.50,46.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A2062S,7,五反野,45   ,44.30,上り,〇【上】ST　ｷｾ～ﾂｶ,45,44.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A2062S,8,梅島,43.10,42.40,上り,〇【上】ST　ｷｾ～ﾂｶ,43.10,42.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A2062S,9,西新井,41.10,39.10,上り,〇【上】ST　ｷｾ～ﾂｶ,41.10,39.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A2062S,10,竹ノ塚,20.37   ,,上り,〇【上】ST　ｷｾ～ﾂｶ,20.37,,始発
